State,Account_Length,Area_Code,Phone_No,International_Plan,Voice_Mail_Plan,No_Vmail_Messages,Total_Day_minutes,Total_Day_Calls,Total_Day_charge,Total_Eve_Minutes,Total_Eve_Calls,Total_Eve_Charge,Total_Night_Minutes,Total_Night_Calls,Total_Night_Charge,Total_Intl_Minutes,Total_Intl_Calls,Total_Intl_Charge,No_CS_Calls,Churn
CO,139,415,3682845, no, no,0,138.1,103,23.48,164.5,100,13.98,134.9,63,6.07,8.3,2,2.24,1,FALSE
MT,109,408,4054920, no, no,0,264.7,69,45,305,120,25.93,197.4,86,8.88,9.5,9,2.57,1,TRUE
SD,65,408,3487484, no, yes,31,282.3,70,47.99,152,89,12.92,225.5,93,10.15,12,4,3.24,1,FALSE
NE,63,415,3385207, no, no,0,211.2,80,35.9,237.7,93,20.2,259.2,58,11.66,12.3,2,3.32,0,FALSE
VT,152,415,4187846, no, no,0,197.1,126,33.51,130.1,76,11.06,78.1,100,3.51,7.4,4,2,3,FALSE
ND,147,408,3588729, no, no,0,205.3,95,34.9,166.7,128,14.17,240.6,84,10.83,7.8,4,2.11,1,FALSE
GA,112,415,3491943, no, yes,22,181.8,110,30.91,228.1,123,19.39,262.7,141,11.82,9.2,4,2.48,2,FALSE
OR,120,415,3688283, no, no,0,252,120,42.84,150.2,106,12.77,151.8,96,6.83,9.6,1,2.59,2,FALSE
MT,27,510,3451419, no, no,0,193.8,102,32.95,118.9,104,10.11,135.9,124,6.12,9.2,3,2.48,0,FALSE
WY,171,415,3588025, no, no,0,231.2,135,39.3,188.7,74,16.04,206.9,124,9.31,12.3,1,3.32,1,FALSE
GA,101,415,3838695, no, yes,33,200.1,108,34.02,188.9,122,16.06,205.1,90,9.23,15.5,4,4.19,0,FALSE
WV,32,408,3707565, no, yes,26,266.7,109,45.34,232.3,107,19.75,212.8,98,9.58,16.3,4,4.4,1,FALSE
CT,3,415,4016162, no, yes,36,118.1,117,20.08,221.5,125,18.83,103.9,89,4.68,11.9,6,3.21,2,FALSE
IL,151,408,3865303, no, no,0,175.3,106,29.8,144.3,87,12.27,160.2,88,7.21,11.8,5,3.19,0,FALSE
CO,60,408,3516552, no, no,0,125.1,99,21.27,248.8,62,21.15,211.3,79,9.51,11.2,3,3.02,3,FALSE
DE,119,415,3455338, no, no,0,176.8,90,30.06,224.7,81,19.1,204.6,77,9.21,7.5,15,2.03,1,FALSE
LA,43,415,3302849, no, no,0,241.9,101,41.12,129.4,121,11,264.8,104,11.92,5.9,3,1.59,1,FALSE
MA,42,408,3646801, no, no,0,241.2,134,41,116.5,114,9.9,152.2,91,6.85,10.6,4,2.86,0,FALSE
IN,84,408,3753003, no, no,0,217.1,99,36.91,236,68,20.06,118.3,120,5.32,9.4,4,2.54,1,FALSE
NY,65,510,3838878, no, no,0,195.4,110,33.22,181.2,109,15.4,178.5,105,8.03,8.9,4,2.4,0,FALSE
TX,75,415,3842372, yes, no,0,222.4,78,37.81,327,111,27.8,208,104,9.36,8.7,9,2.35,1,TRUE
KS,116,510,3777107, no, no,0,189.5,90,32.22,189.8,118,16.13,205.8,83,9.26,13.1,2,3.54,1,FALSE
WV,107,415,3611581, no, no,0,123.1,100,20.93,158.4,82,13.46,256.1,82,11.52,9.3,5,2.51,0,FALSE
NE,189,415,4177888, no, yes,38,256.7,98,43.64,150.5,120,12.79,123,87,5.54,11.4,3,3.08,3,FALSE
ND,123,408,3838364, no, no,0,159.1,94,27.05,241.6,119,20.54,202.4,120,9.11,6.5,1,1.76,1,FALSE
AK,110,408,3962335, no, no,0,100.1,90,17.02,233.3,93,19.83,204.4,57,9.2,11.1,8,3,3,FALSE
CO,63,415,4084530, no, yes,32,30.9,113,5.25,187,113,15.9,230.8,101,10.39,8.6,7,2.32,1,FALSE
ME,176,415,4086621, no, no,0,223.2,76,37.94,214.4,131,18.22,154.4,80,6.95,10.1,2,2.73,3,FALSE
SC,108,510,3937522, no, no,0,187.4,101,31.86,199.9,126,16.99,216.1,107,9.72,12.6,8,3.4,1,FALSE
MN,13,510,3387120, no, yes,21,315.6,105,53.65,208.9,71,17.76,260.1,123,11.7,12.1,3,3.27,3,FALSE
CO,71,415,3574265, no, no,0,277.5,104,47.18,131.8,121,11.2,126.9,101,5.71,8.2,2,2.21,1,FALSE
KS,88,415,3988801, no, no,0,189.8,111,32.27,197.3,101,16.77,234.5,111,10.55,14.9,3,4.02,2,FALSE
MS,137,510,3462347, no, no,0,147.2,119,25.02,192.8,91,16.39,172.7,105,7.77,10.2,4,2.75,1,FALSE
NE,82,408,3432741, no, no,0,185.8,36,31.59,276.5,134,23.5,192.1,104,8.64,5.7,7,1.54,4,FALSE
NJ,92,510,4208242, no, yes,29,155.4,110,26.42,188.5,104,16.02,254.9,118,11.47,8,4,2.16,3,FALSE
WI,165,510,4027746, no, no,0,154.2,91,26.21,268.6,108,22.83,188.8,99,8.5,10.9,4,2.94,6,FALSE
MT,96,415,3321494, no, no,0,97.6,98,16.59,105.5,118,8.97,220.2,105,9.91,11.6,9,3.13,1,FALSE
AR,156,415,3886223, no, no,0,178.8,94,30.4,178.4,97,15.16,169.2,77,7.61,7.5,3,2.03,1,FALSE
WA,63,408,4049539, no, no,0,149.3,104,25.38,273.6,75,23.26,206.6,72,9.3,9.1,4,2.46,0,FALSE
NH,37,415,3417332, no, no,0,206,89,35.02,186,88,15.81,307.1,86,13.82,8.4,11,2.27,0,FALSE
IA,98,415,3387886, no, no,0,216.8,86,36.86,190.8,114,16.22,187.5,79,8.44,11,9,2.97,0,FALSE
WV,121,415,3325596, no, no,0,103.3,110,17.56,129.1,82,10.97,167.1,113,7.52,10.7,3,2.89,0,FALSE
RI,94,415,3489945, no, no,0,139.4,95,23.7,159.1,92,13.52,128.2,129,5.77,7.7,3,2.08,0,FALSE
KS,99,415,4071896, no, no,0,191.2,110,32.5,163.9,102,13.93,243.6,114,10.96,14.1,3,3.81,1,FALSE
MT,163,510,3989408, no, yes,23,160,104,27.2,189.4,64,16.1,229.9,118,10.35,10.4,7,2.81,1,FALSE
MO,161,510,3698005, no, no,0,221.7,95,37.69,193,82,16.41,194.1,113,8.73,6.5,4,1.76,3,FALSE
HI,99,415,3462530, no, no,0,62.9,81,10.69,231,64,19.64,168.9,121,7.6,8.5,5,2.3,1,FALSE
CO,108,415,4005984, no, no,0,215.6,78,36.65,195.3,119,16.6,194.4,65,8.75,3.6,5,0.97,1,FALSE
CT,84,510,3511007, no, yes,42,165.3,97,28.1,223.5,118,19,260.8,72,11.74,7.6,7,2.05,3,FALSE
ID,83,415,3455980, yes, yes,32,94.7,111,16.1,154.4,98,13.12,200.4,109,9.02,10.6,6,2.86,2,FALSE
DC,139,510,3688964, no, no,0,203.2,81,34.54,152.5,99,12.96,197.8,76,8.9,9.7,3,2.62,2,FALSE
TN,69,510,3581912, no, no,0,195.3,70,33.2,216.7,108,18.42,259.9,119,11.7,12.5,4,3.38,3,FALSE
WY,129,510,3793132, no, no,0,143.7,114,24.43,297.8,98,25.31,212.6,86,9.57,11.4,8,3.08,4,FALSE
MO,106,415,3409910, no, no,0,114.4,104,19.45,78.3,101,6.66,232.7,78,10.47,0,0,0,2,FALSE
VA,158,415,3962719, no, no,0,222.8,101,37.88,203,128,17.26,210.6,106,9.48,6.9,2,1.86,2,FALSE
SD,168,415,3696204, no, yes,22,175.9,70,29.9,211.7,105,17.99,174.5,81,7.85,7.3,5,1.97,2,FALSE
WV,115,510,4209971, yes, no,0,249.9,95,42.48,242.5,104,20.61,151.7,121,6.83,15.3,6,4.13,1,TRUE
GA,57,408,4103782, yes, yes,30,234.5,130,39.87,195.2,116,16.59,268.8,94,12.1,11.4,4,3.08,2,FALSE
AZ,67,415,4044481, no, no,0,210.7,116,35.82,219.2,86,18.63,179.7,83,8.09,7.2,6,1.94,1,FALSE
AK,127,408,3839255, no, no,0,182.3,124,30.99,169.9,110,14.44,184,116,8.28,9.3,3,2.51,1,FALSE
AK,78,510,4189385, no, no,0,190.3,88,32.35,194.5,89,16.53,256.5,109,11.54,11.7,5,3.16,2,FALSE
CT,100,415,3609676, no, yes,38,177.1,88,30.11,163.7,108,13.91,242.7,72,10.92,7.4,2,2,0,FALSE
UT,103,510,3273587, no, yes,36,87.2,92,14.82,169.3,110,14.39,166.7,80,7.5,10.9,5,2.94,6,TRUE
KY,113,415,3854715, no, no,0,215.6,96,36.65,193.4,127,16.44,105.4,115,4.74,13.5,3,3.65,1,FALSE
MI,78,510,4142695, no, no,0,137.4,109,23.36,237.6,49,20.2,206.7,136,9.3,14,11,3.78,3,FALSE
OR,129,510,3315999, no, yes,36,192.8,103,32.78,177,83,15.05,216.5,118,9.74,16.4,5,4.43,1,FALSE
TN,57,510,3377739, no, no,0,149.3,100,25.38,200.2,110,17.02,231.7,101,10.43,11.9,3,3.21,2,FALSE
WV,82,408,3886658, no, no,0,143.7,116,24.43,170.7,99,14.51,287.7,95,12.95,7.8,5,2.11,1,FALSE
NJ,64,415,4056943, no, no,0,224.8,111,38.22,190,101,16.15,221.4,110,9.96,9.2,2,2.48,1,FALSE
MS,86,510,3824084, no, yes,39,261.2,122,44.4,214.2,101,18.21,154.9,101,6.97,12.7,5,3.43,2,FALSE
ME,151,415,3528249, no, yes,26,196.5,98,33.41,175.8,111,14.94,221.8,124,9.98,13.4,5,3.62,0,FALSE
WY,94,510,3538363, no, no,0,271.2,105,46.1,202.6,105,17.22,221.6,51,9.97,11.5,3,3.11,3,TRUE
WY,90,415,4162825, no, no,0,207.2,121,35.22,292.5,104,24.86,226.3,103,10.18,8,1,2.16,2,FALSE
IN,48,510,3426696, no, no,0,300.4,94,51.07,133.2,103,11.32,197.4,94,8.88,7.2,5,1.94,2,FALSE
NM,85,408,3389210, no, yes,37,229.6,123,39.03,132.3,90,11.25,211.9,76,9.54,9.5,8,2.57,2,FALSE
NJ,93,415,3281768, yes, yes,20,187.5,110,31.88,169.8,94,14.43,175.3,127,7.89,12.1,4,3.27,1,FALSE
DC,169,415,4065870, yes, no,0,57.1,98,9.71,199.7,78,16.97,274.7,103,12.36,6.5,6,1.76,3,FALSE
UT,68,415,3983834, no, no,0,162.1,86,27.56,155,86,13.18,189.7,87,8.54,11,9,2.97,5,TRUE
KY,91,415,3307754, yes, no,0,145,89,24.65,175.8,102,14.94,223.7,151,10.07,16.7,3,4.51,2,TRUE
KS,68,510,4149054, no, no,0,159.5,123,27.12,240.8,93,20.47,210.3,76,9.46,11.4,3,3.08,1,FALSE
MI,101,510,3502832, no, no,0,190.7,72,32.42,208.6,103,17.73,203.8,111,9.17,8.8,8,2.38,1,FALSE
UT,67,510,4149027, no, yes,20,230.6,40,39.2,189.1,58,16.07,162.2,115,7.3,9.4,2,2.54,1,FALSE
NE,66,415,3371225, no, no,0,34,133,5.78,278.6,61,23.68,129.6,120,5.83,11.5,3,3.11,0,FALSE
FL,116,415,3946577, no, yes,17,193.4,112,32.88,240.6,131,20.45,248.1,98,11.16,11.4,3,3.08,5,FALSE
LA,158,408,3596995, no, no,0,202,126,34.34,163.5,86,13.9,195.4,84,8.79,10.4,6,2.81,1,FALSE
MT,78,415,3777561, no, no,0,191.7,122,32.59,241.4,88,20.52,203.5,86,9.16,9.1,5,2.46,1,FALSE
WA,119,415,3806631, no, yes,26,161.3,97,27.42,250.3,110,21.28,142.4,92,6.41,6.6,8,1.78,1,FALSE
MI,120,415,3908876, no, no,0,150.6,85,25.6,119,128,10.12,232.9,123,10.48,6.4,2,1.73,1,FALSE
KY,155,510,4132201, no, no,0,184.6,102,31.38,196,117,16.66,226.5,122,10.19,7.8,1,2.11,1,FALSE
LA,106,408,3742073, no, no,0,220.7,120,37.52,270.2,95,22.97,121.6,113,5.47,8.7,5,2.35,1,FALSE
NM,87,510,4171272, yes, no,0,167.3,119,28.44,198.5,119,16.87,133.1,88,5.99,11,6,2.97,1,FALSE
AL,146,415,3581129, no, yes,32,154,80,26.18,185.5,91,15.77,148.2,107,6.67,8.2,4,2.21,3,FALSE
MO,101,415,3941211, no, yes,29,121.1,116,20.59,186.4,100,15.84,241.7,75,10.88,10.1,6,2.73,0,FALSE
CO,22,510,3271319, no, yes,23,182.1,94,30.96,164.6,59,13.99,128.8,102,5.8,12.7,4,3.43,3,FALSE
TX,90,415,3994413, no, no,0,109.6,88,18.63,137.6,108,11.7,159.7,121,7.19,11,5,2.97,2,FALSE
NY,41,415,3939985, no, no,0,209.9,105,35.68,121.9,105,10.36,253.7,104,11.42,9.6,4,2.59,1,FALSE
OR,69,415,4018377, no, no,0,167.5,76,28.48,242.1,92,20.58,101.2,103,4.55,11.4,4,3.08,2,FALSE
WY,33,415,3313202, no, no,0,213.9,88,36.36,239.8,119,20.38,148.7,71,6.69,9.8,14,2.65,2,FALSE
UT,112,415,3585953, no, no,0,115.8,108,19.69,243.3,111,20.68,184.6,78,8.31,13.1,5,3.54,1,FALSE
LA,108,510,3807624, no, yes,30,276.6,99,47.02,220.1,113,18.71,177.9,95,8.01,9.8,6,2.65,2,FALSE
NV,136,415,4165261, no, yes,21,179.4,88,30.5,181.1,97,15.39,320.7,120,14.43,9.5,4,2.57,2,FALSE
NC,128,510,4175067, no, no,0,187.3,84,31.84,270.8,95,23.02,206.4,68,9.29,10.1,5,2.73,1,FALSE
NC,27,408,3456515, no, no,0,201.2,128,34.2,227.2,100,19.31,145.8,91,6.56,8.4,3,2.27,2,FALSE
WY,161,415,4061349, yes, no,0,189.6,78,32.23,267.4,117,22.73,184.5,137,8.3,1.3,6,0.35,1,FALSE
TN,33,415,3609038, no, yes,35,186.8,124,31.76,261,69,22.19,317.8,103,14.3,15,5,4.05,0,FALSE
FL,120,415,3483444, no, yes,31,153.5,83,26.1,219.1,96,18.62,237.4,76,10.68,11.4,4,3.08,0,FALSE
CA,113,415,3702892, no, no,0,187.6,97,31.89,208.2,118,17.7,158.9,101,7.15,8.7,6,2.35,2,FALSE
PA,122,415,3834061, yes, no,0,230.9,132,39.25,243.2,99,20.67,182.4,57,8.21,11,2,2.97,0,TRUE
WV,148,415,3917937, no, yes,26,244.9,150,41.63,118,138,10.03,236,91,10.62,15.2,4,4.1,2,FALSE
NJ,74,415,3894083, no, no,0,230.9,93,39.25,223,78,18.96,157.8,101,7.1,9.7,2,2.62,3,FALSE
MT,106,415,4109633, no, no,0,187.1,104,31.81,250.2,117,21.27,144.9,81,6.52,11,3,2.97,1,FALSE
MN,179,415,4189502, no, no,0,170.7,54,29.02,191.1,108,16.24,214.6,107,9.66,13.3,4,3.59,1,FALSE
WI,149,415,3396637, yes, yes,28,126.9,97,21.57,166.9,102,14.19,145.2,77,6.53,8.8,3,2.38,5,TRUE
ID,77,510,3563403, no, no,0,189.5,112,32.22,207,95,17.6,214.1,91,9.63,9.2,7,2.48,0,FALSE
MA,127,408,3719457, yes, no,0,176.9,110,30.07,167.9,100,14.27,182.2,138,8.2,7.7,2,2.08,1,TRUE
OR,80,415,3918087, no, no,0,161.1,99,27.39,198.8,81,16.9,228.4,116,10.28,10.6,4,2.86,1,FALSE
MT,106,510,3926420, no, no,0,169.4,107,28.8,197.2,71,16.76,202.2,79,9.1,10.7,4,2.89,1,FALSE
AL,61,415,3994094, no, yes,20,254.4,133,43.25,161.7,96,13.74,251.4,91,11.31,10.5,4,2.84,0,FALSE
ND,135,510,3784013, yes, yes,24,127.7,54,21.71,215,105,18.28,234.3,84,10.54,5.8,4,1.57,2,FALSE
LA,115,415,3866306, no, yes,26,170.5,107,28.99,217.2,77,18.46,225.7,71,10.16,13.6,5,3.67,6,FALSE
ND,167,408,3593618, yes, no,0,219.1,100,37.25,242.9,90,20.65,168.9,101,7.6,10.1,4,2.73,2,FALSE
MS,107,510,3408875, yes, no,0,273.5,104,46.5,183.8,68,15.62,153.8,67,6.92,11,9,2.97,2,FALSE
WV,112,415,3302693, yes, no,0,161.9,138,27.52,200.9,114,17.08,134,134,6.03,10.7,4,2.89,1,FALSE
WI,35,510,4037627, no, yes,27,241.7,87,41.09,142,101,12.07,288.9,68,13,9.4,4,2.54,1,FALSE
KS,103,408,3423678, yes, no,0,62.8,124,10.68,170.4,66,14.48,280.2,78,12.61,9.4,4,2.54,3,FALSE
MO,107,415,3449943, no, yes,22,281.1,83,47.79,143.7,130,12.21,239.4,128,10.77,11.2,9,3.02,1,FALSE
PA,69,415,3905686, no, no,0,228.2,70,38.79,263.7,80,22.41,142.6,60,6.42,10.7,5,2.89,3,FALSE
SD,85,408,3585826, no, no,0,209.8,82,35.67,194.5,94,16.53,200.4,85,9.02,11.3,3,3.05,0,FALSE
NJ,24,408,3937826, no, no,0,265.6,86,45.15,208.8,102,17.75,182.5,105,8.21,11.1,6,3,2,TRUE
AL,90,415,3359786, no, no,0,214.9,97,36.53,117.8,117,10.01,133.7,78,6.02,11.8,2,3.19,2,FALSE
ME,137,510,3689860, no, no,0,110.5,79,18.79,223.2,111,18.97,169.5,64,7.63,10.5,3,2.84,3,FALSE
AZ,92,415,4169522, yes, yes,45,281.1,88,47.79,198,103,16.83,94.3,76,4.24,7.5,3,2.03,0,FALSE
VT,38,415,4167307, no, no,0,137.8,86,23.43,286.3,76,24.34,167,77,7.52,14.1,3,3.81,2,FALSE
NV,69,510,3976789, yes, yes,33,271.5,98,46.16,253.4,102,21.54,165.4,85,7.44,8.2,2,2.21,1,TRUE
WI,45,408,3359501, no, no,0,112.8,108,19.18,218.8,120,18.6,240.2,106,10.81,9,3,2.43,2,FALSE
HI,73,408,3881250, no, no,0,187.3,118,31.84,239.7,90,20.37,167.5,108,7.54,15.1,2,4.08,1,FALSE
DE,92,415,3861374, no, no,0,197,84,33.49,269.3,105,22.89,158.9,105,7.15,10.8,4,2.92,1,FALSE
AZ,113,415,3468112, no, yes,32,180.4,89,30.67,129.4,124,11,166.9,124,7.51,8.4,2,2.27,1,FALSE
VA,68,408,3649040, yes, no,0,148.5,126,25.25,219.4,125,18.65,198.5,121,8.93,14.5,7,3.92,1,TRUE
GA,135,415,3663944, no, yes,22,197.1,113,33.51,259.4,95,22.05,134.7,135,6.06,14.6,5,3.94,2,FALSE
AZ,100,415,3319861, no, yes,26,153.7,115,26.13,137.8,146,11.71,213.5,104,9.61,15.9,5,4.29,1,FALSE
MN,96,415,3302881, no, yes,27,261.3,96,44.42,220.9,101,18.78,179.4,97,8.07,11.3,2,3.05,1,FALSE
ME,108,510,4029558, no, no,0,246.2,102,41.85,202.4,134,17.2,180.1,95,8.1,9.4,5,2.54,1,FALSE
FL,84,510,3413180, no, no,0,191,88,32.47,318.8,119,27.1,247.3,79,11.13,6.5,4,1.76,0,FALSE
WA,134,408,3718598, no, no,0,208.3,86,35.41,253.6,89,21.56,291,86,13.1,12.6,3,3.4,1,FALSE
MT,72,415,3988385, no, no,0,253,73,43.01,219.3,78,18.64,210.8,89,9.49,9.8,4,2.65,0,FALSE
AL,83,408,3334154, no, no,0,202.3,87,34.39,201.5,111,17.13,101.7,82,4.58,6.8,4,1.84,0,FALSE
WV,137,408,3303589, no, no,0,174.4,120,29.65,156.3,98,13.29,136.5,121,6.14,10.2,5,2.75,0,FALSE
GA,56,415,4171477, no, yes,30,127.1,89,21.61,172.1,116,14.63,194.6,111,8.76,12.1,3,3.27,1,FALSE
OH,61,510,3275525, yes, yes,16,143.5,76,24.4,242.6,58,20.62,147.7,95,6.65,11.3,3,3.05,0,FALSE
DE,171,510,3638244, no, yes,17,186.9,94,31.77,240,138,20.4,200.9,64,9.04,5.8,3,1.57,1,FALSE
NE,123,510,4199104, no, no,0,194,118,32.98,242,114,20.57,146.3,108,6.58,12.1,4,3.27,1,FALSE
FL,58,510,3631560, no, no,0,234.8,89,39.92,106.8,131,9.08,178.5,122,8.03,9.9,6,2.67,0,FALSE
AK,156,510,3414075, no, no,0,123.7,96,21.03,103,80,8.76,189.4,82,8.52,13.1,4,3.54,1,FALSE
WI,166,510,3669074, no, no,0,173.9,103,29.56,276.4,83,23.49,190.8,113,8.59,15.3,5,4.13,0,FALSE
WA,75,510,3671424, no, yes,41,130.9,115,22.25,203.4,110,17.29,171.7,68,7.73,12.4,4,3.35,1,FALSE
KY,75,415,3411191, no, no,0,314.6,102,53.48,169.8,86,14.43,285.1,100,12.83,5.7,3,1.54,2,TRUE
OH,83,510,3429480, no, no,0,227.9,78,38.74,207.5,115,17.64,211.7,100,9.53,12.1,5,3.27,1,FALSE
UT,243,510,3559360, no, no,0,95.5,92,16.24,163.7,63,13.91,264.2,118,11.89,6.6,6,1.78,2,FALSE
NM,153,408,3431538, no, no,0,185.3,127,31.5,208,73,17.68,206.1,124,9.27,15.1,3,4.08,1,FALSE
MN,150,415,3352331, no, no,0,146.3,133,24.87,202.7,95,17.23,234.7,103,10.56,13.1,3,3.54,1,FALSE
WV,92,510,3357257, no, yes,16,184,99,31.28,76.4,134,6.49,185.1,96,8.33,12.7,3,3.43,2,FALSE
MN,80,415,3322137, no, no,0,105.8,110,17.99,43.9,88,3.73,189.6,87,8.53,13.1,5,3.54,0,FALSE
AL,134,415,3522998, no, no,0,178,110,30.26,153.8,64,13.07,236.6,105,10.65,11.7,4,3.16,1,FALSE
PA,77,510,3466941, no, yes,24,149.4,74,25.4,123.9,72,10.53,174.3,84,7.84,10.1,6,2.73,1,FALSE
DE,147,510,4002203, no, no,0,209.4,104,35.6,132.5,78,11.26,149.4,123,6.72,11.3,3,3.05,2,FALSE
MO,74,415,4212955, no, no,0,172.1,105,29.26,211.7,99,17.99,182.2,105,8.2,11.6,6,3.13,1,FALSE
IL,138,510,3316629, yes, no,0,169.3,82,28.78,217.9,147,18.52,184.2,77,8.29,9.4,9,2.54,1,FALSE
FL,143,415,3436314, no, no,0,119.1,117,20.25,287.7,136,24.45,223,100,10.04,12.2,4,3.29,0,FALSE
HI,64,415,4146638, no, no,0,194.2,147,33.01,173.4,87,14.74,268.7,114,12.09,5.5,2,1.49,2,FALSE
ME,120,510,3505883, no, no,0,198.8,56,33.8,230.1,73,19.56,119.8,81,5.39,9.9,3,2.67,2,FALSE
CO,121,408,4094447, yes, no,0,167.7,94,28.51,93.7,121,7.96,241.3,115,10.86,13.4,1,3.62,3,TRUE
NH,88,415,3764856, no, no,0,202.2,86,34.37,216.8,93,18.43,239.4,99,10.77,11.8,2,3.19,2,FALSE
SC,87,408,3351874, no, no,0,322.5,106,54.83,204.6,93,17.39,186.2,128,8.38,9.4,4,2.54,2,TRUE
IN,100,510,3976255, no, no,0,216.2,107,36.75,215.6,84,18.33,138.4,127,6.23,10.2,3,2.75,0,FALSE
FL,104,415,3815047, no, no,0,76.4,116,12.99,115.6,74,9.83,226.3,94,10.18,9.4,3,2.54,3,FALSE
GA,27,510,4036850, no, no,0,72.7,75,12.36,208.6,117,17.73,65.8,71,2.96,9.9,3,2.67,1,FALSE
IL,81,415,3753658, no, yes,31,210.4,100,35.77,225.5,97,19.17,168.7,120,7.59,9.7,4,2.62,0,FALSE
NC,64,510,3412603, yes, yes,33,127.2,93,21.62,162.9,104,13.85,247.4,109,11.13,8.1,13,2.19,0,FALSE
VT,107,510,3425062, no, yes,28,201.8,79,34.31,304.9,128,25.92,225.6,133,10.15,11.9,8,3.21,1,FALSE
DC,88,415,3541558, no, yes,17,219.5,78,37.32,222.1,94,18.88,188.3,92,8.47,16.1,5,4.35,1,FALSE
VT,111,408,3519537, no, no,0,99.3,112,16.88,270.5,136,22.99,225.3,94,10.14,9,6,2.43,3,FALSE
NV,77,415,4011252, no, no,0,239.2,114,40.66,150,115,12.75,160.8,81,7.24,10.3,2,2.78,5,FALSE
OR,67,415,3669538, yes, no,0,120.9,58,20.55,235,88,19.98,95.1,130,4.28,11.4,11,3.08,2,FALSE
AL,102,408,3647622, no, no,0,224.7,81,38.2,129.4,112,11,167.6,109,7.54,15.8,6,4.27,1,FALSE
ND,146,408,3939918, no, yes,19,176.6,88,30.02,162.7,66,13.83,215.5,98,9.7,14.6,6,3.94,1,FALSE
FL,144,415,3764484, no, yes,51,283.9,98,48.26,192,109,16.32,196.3,85,8.83,10,4,2.7,1,FALSE
NE,96,415,4106791, no, no,0,180.6,92,30.7,190.9,114,16.23,295.6,125,13.3,10.3,4,2.78,1,TRUE
ND,70,415,3432392, no, yes,31,125.9,101,21.4,196.4,102,16.69,252.7,75,11.37,10.3,4,2.78,1,FALSE
ME,149,408,4084323, no, no,0,237.6,79,40.39,192.4,107,16.35,207.4,111,9.33,9.1,9,2.46,0,FALSE
IL,129,415,3951718, no, no,0,198.4,91,33.73,264.7,106,22.5,111.4,101,5.01,9.2,2,2.48,2,FALSE
WA,166,408,3549492, no, no,0,274.3,110,46.63,52.9,109,4.5,246.1,119,11.07,10.9,5,2.94,0,FALSE
MA,136,408,3678168, yes, no,0,199.6,89,33.93,211.4,96,17.97,72.4,84,3.26,11,4,2.97,3,TRUE
KS,149,510,3403500, no, no,0,217.7,91,37.01,273.5,74,23.25,226.9,99,10.21,9.6,3,2.59,3,FALSE
RI,70,415,3694962, no, no,0,134.7,96,22.9,235.9,90,20.05,260.2,113,11.71,7.6,6,2.05,3,FALSE
MO,120,415,3348967, no, yes,24,212.7,73,36.16,257.5,103,21.89,227.8,119,10.25,9.7,13,2.62,2,FALSE
IA,66,510,4022377, no, no,0,256.3,135,43.57,180.2,106,15.32,187.3,135,8.43,6.2,7,1.67,2,FALSE
WY,104,408,3663917, no, no,0,183.6,133,31.21,120.7,98,10.26,215.1,112,9.68,12.7,2,3.43,1,FALSE
NV,160,415,3333531, no, no,0,176.2,90,29.95,196,115,16.66,263.9,95,11.88,9.2,4,2.48,1,FALSE
WI,129,415,3338954, no, yes,37,205,94,34.85,165.4,103,14.06,185,81,8.32,11.7,8,3.16,1,FALSE
AL,93,408,3749203, no, no,0,267.9,114,45.54,223,74,18.96,262.7,90,11.82,11.3,3,3.05,3,TRUE
HI,169,415,3343289, no, no,0,179.2,111,30.46,175.2,130,14.89,228.6,92,10.29,9.9,6,2.67,2,FALSE
MO,58,415,3537822, no, no,0,149.4,145,25.4,196.5,105,16.7,209.5,108,9.43,14.9,3,4.02,1,FALSE
CA,75,510,3501422, no, yes,38,163.6,132,27.81,146.7,113,12.47,345.8,115,15.56,13.1,3,3.54,3,FALSE
MO,45,408,3858406, no, no,0,207.6,71,35.29,152.7,94,12.98,217.8,125,9.8,12.4,13,3.35,1,FALSE
CT,155,510,3807277, no, no,0,165.4,108,28.12,183.7,103,15.61,80.2,108,3.61,8.9,4,2.4,3,FALSE
MD,52,415,3521798, no, no,0,209.8,114,35.67,171.3,82,14.56,154.6,119,6.96,9.9,9,2.67,4,FALSE
OH,119,415,3857922, no, yes,27,220.1,128,37.42,268.2,133,22.8,146.5,80,6.59,11.1,3,3,0,FALSE
NV,86,510,3537730, no, no,0,141.3,72,24.02,154.3,95,13.12,210.6,91,9.48,8.2,5,2.21,1,FALSE
MD,42,408,3377163, no, no,0,196.5,89,33.41,241.3,123,20.51,143.2,105,6.44,4,7,1.08,0,FALSE
NE,127,510,3485567, yes, no,0,180.9,114,30.75,209.5,118,17.81,249.9,105,11.25,7.4,4,2,2,FALSE
OH,123,408,4209575, no, no,0,105,150,17.85,251.6,90,21.39,258,93,11.61,14.9,5,4.02,0,FALSE
MA,98,510,3663358, no, no,0,271.4,119,46.14,190.4,102,16.18,284.7,118,12.81,11.1,6,3,4,TRUE
OK,149,510,3599972, no, yes,43,206.7,79,35.14,174.6,122,14.84,241.5,80,10.87,10.9,3,2.94,1,FALSE
MA,160,408,3873332, no, no,0,166.8,109,28.36,236,117,20.06,307.6,77,13.84,9.3,1,2.51,1,FALSE
WA,103,415,3546960, no, no,0,204.9,107,34.83,135.2,102,11.49,208.2,106,9.37,10.4,3,2.81,5,FALSE
HI,132,415,4053335, no, yes,15,154.6,128,26.28,245.6,106,20.88,148.6,90,6.69,9.1,4,2.46,1,FALSE
